dataset,method,budget,accuracy_mean,accuracy_std,f1_mean,f1_std
iris,entropy,200,0.9400000000000001,0.014907119849998594,0.9399832915622388,0.014869758647367016
iris,margin,200,0.9400000000000001,0.014907119849998594,0.9399832915622388,0.014869758647367016
iris,least_confidence,200,0.9400000000000001,0.014907119849998594,0.9399832915622388,0.014869758647367016
iris,sensitivity,200,0.9533333333333334,0.018257418583505533,0.95314852788537,0.018397619589608737
wine,entropy,200,0.9722222222222221,1.2412670766236366e-16,0.970961887477314,1.2412670766236366e-16
wine,margin,200,0.9666666666666666,0.02324055629261322,0.9656811360401669,0.0237338517600478
wine,least_confidence,200,0.961111111111111,0.031671539586087184,0.9595622773408617,0.032488806518564985
wine,sensitivity,200,0.9722222222222221,1.2412670766236366e-16,0.970961887477314,1.2412670766236366e-16
breast_cancer,entropy,200,0.9596491228070174,0.010001538816659137,0.9570865465527312,0.010265175941318297
breast_cancer,margin,200,0.9596491228070174,0.010001538816659137,0.9570009158426129,0.010303933493926484
breast_cancer,least_confidence,200,0.9578947368421054,0.00960916767552926,0.9552473726547339,0.009915050337031708
breast_cancer,sensitivity,200,0.9614035087719298,0.010001538816659137,0.9587839866621586,0.010601714325268251
